iter	RMSE
0	14.00604436
1	13.12698134
2	12.37186208
3	11.665363
4	11.05444387
5	10.45095647
6	9.915582367
7	9.482436681
8	9.090892244
9	8.69298109
10	8.352355202
11	8.003478295
12	7.715093865
13	7.450065772
14	7.245233637
15	7.021163498
16	6.837450967
17	6.650674807
18	6.50886205
19	6.384306751
20	6.257546477
21	6.157585537
22	6.051733046
23	5.965692608
24	5.896777013
25	5.840547761
26	5.786362809
27	5.73650182
28	5.681991275
29	5.648424119
30	5.589414397
31	5.537117648
32	5.498571395
33	5.459070646
34	5.431116716
35	5.399485836
36	5.362093839
37	5.333990985
38	5.300876404
39	5.270036214
40	5.248647238
41	5.22820615
42	5.210448476
43	5.193989917
44	5.176791737
45	5.152880939
46	5.140671238
47	5.126465369
48	5.10911134
49	5.088353714
