iter	Passed	Remaining
0	143	143239
1	144	72278
2	146	48620
3	147	36819
4	148	29643
5	150	24994
6	152	21573
7	153	19001
8	154	16979
9	155	15359
10	156	14095
11	157	12992
12	158	12049
13	159	11237
14	160	10531
15	161	9919
16	162	9373
17	162	8887
18	163	8451
19	164	8061
20	165	7701
21	165	7377
22	166	7087
23	167	6815
24	168	6568
25	169	6347
26	171	6172
27	172	5983
28	174	5832
29	175	5680
30	176	5521
31	177	5372
32	178	5232
33	179	5100
34	180	4979
35	181	4862
36	182	4759
37	183	4645
38	184	4543
39	185	4456
40	186	4368
41	187	4286
42	188	4199
43	189	4116
44	190	4040
45	191	3964
46	191	3891
47	192	3820
48	193	3755
49	194	3690
50	195	3629
51	195	3570
52	196	3514
53	197	3457
54	198	3403
55	198	3347
56	199	3297
57	200	3249
58	201	3212
59	202	3172
60	203	3136
61	204	3094
62	205	3054
63	206	3014
64	207	2980
65	208	2943
66	208	2909
67	209	2873
68	210	2839
69	211	2808
70	212	2781
71	213	2753
72	214	2725
73	215	2699
74	216	2675
75	217	2650
76	219	2625
77	220	2601
78	220	2576
79	221	2551
80	222	2527
81	223	2503
82	224	2480
83	225	2457
84	226	2435
85	227	2413
86	227	2391
87	228	2366
88	229	2346
89	230	2327
90	231	2308
91	231	2289
92	232	2272
93	233	2253
94	234	2236
95	235	2219
96	236	2203
97	237	2188
98	238	2174
99	239	2159
100	240	2142
101	241	2127
102	242	2112
103	243	2098
104	244	2085
105	245	2070
106	246	2057
107	247	2043
108	247	2025
109	248	2011
110	249	1998
111	250	1984
112	251	1971
113	251	1957
114	252	1945
115	253	1934
116	254	1923
117	255	1912
118	256	1902
119	258	1892
120	259	1882
121	260	1874
122	261	1865
123	262	1856
124	264	1853
125	265	1844
126	267	1835
127	268	1828
128	269	1819
129	270	1809
130	271	1801
131	272	1791
132	273	1783
133	274	1773
134	275	1763
135	276	1753
136	276	1744
137	277	1735
138	278	1727
139	279	1719
140	281	1713
141	282	1707
142	283	1700
143	284	1694
144	286	1687
145	287	1680
146	288	1673
147	289	1666
148	291	1662
149	292	1655
150	293	1648
151	294	1641
152	295	1635
153	296	1629
154	297	1622
155	298	1615
156	299	1608
157	300	1602
158	301	1595
159	302	1588
160	303	1581
161	304	1576
162	305	1570
163	306	1564
164	308	1558
165	309	1552
166	310	1547
167	311	1541
168	312	1535
169	313	1530
170	314	1525
171	315	1520
172	316	1514
173	317	1508
174	318	1503
175	319	1497
176	320	1492
177	321	1486
178	323	1481
179	324	1476
180	325	1471
181	326	1466
182	327	1461
183	328	1458
184	329	1453
185	330	1448
186	332	1443
187	333	1439
188	334	1435
189	335	1430
190	336	1425
191	337	1421
192	338	1416
193	339	1411
194	340	1406
195	341	1401
196	342	1396
197	343	1393
198	344	1388
199	346	1384
200	346	1379
201	347	1374
202	349	1370
203	350	1365
204	351	1361
205	352	1357
206	353	1352
207	354	1348
208	355	1344
209	356	1339
210	357	1335
211	357	1330
212	358	1326
213	359	1322
214	360	1317
215	361	1313
216	362	1309
217	363	1304
218	364	1300
219	365	1295
220	366	1290
221	367	1286
222	367	1282
223	368	1277
224	369	1273
225	370	1269
226	372	1267
227	373	1266
228	376	1266
229	377	1263
230	378	1259
231	379	1256
232	380	1252
233	381	1248
234	382	1244
235	383	1240
236	384	1237
237	385	1233
238	386	1229
239	386	1225
240	387	1220
241	388	1217
242	389	1213
243	390	1209
244	391	1206
245	392	1202
246	393	1198
247	394	1196
248	395	1192
249	396	1189
250	397	1187
251	399	1184
